Co. Corp TKR,Total,Banks,Financial Services,Diversified Banks,Consumer Finance,Utilities,Real Estate,Supranationals,Industrial Other,Commercial Finance,Government Development Banks,Consumer Services,Transportation & Logistics,Power Generation,Automobiles Manufacturing,Chemicals,Food & Beverage,Life Insurance,Metals & Mining,Machinery Manufacturing,Wireless Telecommunications Services,Electrical Equipment Manufacturing,Exploration & Production,Property & Casualty Insurance,Software & Services,Health Care Facilities & Services,Retail - Consumer Discretionary,Travel & Lodging,Pipeline,Pharmaceuticals,Wireline Telecommunications Services,Integrated Oils,Construction Materials Manufacturing,Hardware,Airlines,Coal Operations,Homebuilders,Oil & Gas Services & Equipment,Supermarkets & Pharmacies,Railroad,Auto Parts Manufacturing,Others,<blank>
PERI,24638038,,,,,,,,,,,,,,,,,,,,,,,,24638038,,,,,,,,,,,,,,,,,,
PERHOL,1226501220,,,,,,,,,,,,,,,1226501220,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHMK,71519840,,,,,,,,,,,,,,,,,,71519840,,,,,,,,,,,,,,,,,,,,,,,,
PERENT,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERELI,90624833,,,,,,90624833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERDRI,29721280,,,,,,,,,,,,,,,,,,,29721280,,,,,,,,,,,,,,,,,,,,,,,
PERCEN,1583225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1583225,,,,,
PERBA,0,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERADM,36809700,,,,,,,,,,,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEPPER,125000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125000000,
PEPLIN,155946000,,,,,,155946000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEP,38023627038,,,,,,,,,,,,,,,,38023627038,,,,,,,,,,,,,,,,,,,,,,,,,,
PEORIA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEOPW,397496700,368052500,,,,,,,,29444200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENTA,274323300,,,,,,,,274323300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENSKE,7599520500,,,,,,,,,,,,7599520500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENSBK,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENRGY,24539800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24539800,
PENPW,45769181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45769181,
PENOMX,600000000,,,,,,,,,,,,,,,,,,600000000,,,,,,,,,,,,,,,,,,,,,,,,
PENNUN,275000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275000000,,,
PENNTR,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNTB,0,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNRR,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNO,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
PENNHI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
PENNAT,50000000,,,,,,,,,,,,,,,,,,,,,,,50000000,,,,,,,,,,,,,,,,,,,
PENN,400000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400000000,
PENLIN,100373083,,,,,,100373083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENLAT,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PENLAC,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENIT,64240867,,,,,,,,,,,,,,,,,,,,,,,,,,64240867,,,,,,,,,,,,,,,,
PENFND,80935040,,80935040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENFIN,348925000,,,,,,348925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENERJ,18532930,,,,,,,,18532930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENELL,6134950,,,,,,,,,,,,,,,,,,,,,6134950,,,,,,,,,,,,,,,,,,,,,
PENED,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDLE,1043725000,,1043725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENDGD,51533580,,,,,,51533580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENCO,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PENATB,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENAIR,189714600,,189714600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMIMK,1896346259,1896346259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMEX,77482675630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77482675630,,,,,,,,,,,
PEMBV,137982700,,137982700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELPW,29444200,,,,,,,,,,,,,,,,,,,,,,,,,29444200,,,,,,,,,,,,,,,,,
PELIND,73860700,,,,,,,,,,,,73860700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELIM,260613903,245890023,14723880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELICN,200000000,,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELHOL,429446500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429446500,,
PELELK,259437456,,,,259437456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELEGI,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,
PELCAP,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELACT,55706700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55706700,
PEIX,55000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000000,
PEISOA,322296220,,322296220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEINEG,18404850,,,,,,,,,,,,,,,,,,,,,,,,,,18404850,,,,,,,,,,,,,,,,
PEGS,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGMAT,202821447,,202821447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGI,575000000,,,,,,,,,,,,,575000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGCOR,238964600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238964600,
PEGCAP,92367119,,92367119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGASC,313078955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313078955,
PEG,12414006000,,,,,12414006000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEFCO,5025000000,,,,,,,,,5025000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEERM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
PEELLN,574383600,,,,,,346850000,,227533600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDUSW,6353220,,,,,,,,,,,,,,,,,,,6353220,,,,,,,,,,,,,,,,,,,,,,,
PEDRAS,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDELC,313125000,,,,,313125000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECOS,90000000,,,,90000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECIN,23391900,,,,,,,,23391900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBO,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBGLF,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEBBLE,752002539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,752002539,
PEATRE,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEARLF,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEANSW,102933655,,,,,,102933655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEAMHL,71689773,,,,,,,,71689773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEALLN,279140000,,279140000,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
PEALIV,914411,,,,,,914411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEACHT,1730000,,,,,,1730000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEABDY,764730000,279140000,,,,,485590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDYLAI,159485000,,,,,,,,159485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDVSA,27919890000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27919890000,,,,,,,,,,,
PDSUR,34800000,,,,,,,,,,,,34800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDSOAM,124146360,,124146360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDSHDI,480927640,,480927640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDSBNK,334498600,334498600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDRBCO,31897000,,,,,,,,31897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDQMSA,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDNAU,150000000,,,,,,,,,,,,,,,,,,150000000,,,,,,,,,,,,,,,,,,,,,,,,
PDMTH,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDM,750000000,,,,,,750000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDLSBZ,49593429,,49593429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDLLN,650000000,,,,,,,,,,,,,,,,,,650000000,,,,,,,,,,,,,,,,,,,,,,,,
PDLI,150000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150000000,
PDLCN,25461504,,,,,,,,,,,,,,,,,,25461504,,,,,,,,,,,,,,,,,,,,,,,,
PDLAND,780313700,,,,,,780313700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDH,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGRBZ,230016675,,,,,,230016675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDGLN,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
PDGI,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,
PDEPE,101669700,,,,,,,,,,,,,,,,101669700,,,,,,,,,,,,,,,,,,,,,,,,,,
PDEL,70000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70000000,
PDCO,725000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725000000,
PDCN,1398625000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1398625000,,,,,
PDCGMC,4784550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4784550,
PDCE,1200000000,,,,,,,,,,,,,,,,,,,,,,1200000000,,,,,,,,,,,,,,,,,,,,
PDCAR,44227358,44227358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PDAGSW,64000200,,,,,,,,,,,,,,,,,,,,,,,,,64000200,,,,,,,,,,,,,,,,,
PDACRP,4042397340,,,,,,,,,,,,4042397340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCZNEG,0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCXPW,20610940,,,,,,,,,,,,,,,20610940,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCVGR,30674750,,,,,,,,,30674750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCTNZ,236582500,,,,,,236582500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCRX,351106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351106000,,,,,,,,,,,,,
PCRPW,78616014,,,,,,,,,,,,,,,78616014,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCPINV,5240000,,5240000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCPDC,570000000,,,,,,570000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCP,3500000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3500000000,
PCORPM,709558180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709558180,
PCN,75000000,,,,,,,,,,,,,,,,,,75000000,,,,,,,,,,,,,,,,,,,,,,,,
PCMPW,73610500,,,,,,,,,,,,,,,,,,,,,,,,,,73610500,,,,,,,,,,,,,,,,
PCLTEC,7996604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7996604,,,,,,,,,
PCLN,9815501500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9815501500,
PCLB,3000000,3000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCIM,735744000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,735744000,,
PCIID,130030000,,130030000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCIHDG,3200439,,,,,,,,,,,,,,,,,,,,,,,,3200439,,,,,,,,,,,,,,,,,,
PCIDCL,159162000,,,,,,,,159162000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCH,153000000,,,,,,153000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCG,17975000000,,,,,17975000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCFCOM,165394790,,165394790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCFCI,91441100,,91441100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCDIRE,2315780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2315780,
PCCW,2695398000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695398000,,,,,,,,,,,,
PCCIN,5458110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5458110,,,,,,,,,,
PCCI,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCC,27070000,,,,27070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCBTEC,27310240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27310240,,,,,,,,,
PCBC,38000000,38000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCARBZ,277623900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277623900,,,,
PCAR,6006437100,,,,,,,,,,,,6006437100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAPT,5437958,,5437958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCAMSA,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBYGR,61349500,,,,,,61349500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBSIPR,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBRXIJ,200000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200000000,
PBOWEN,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBKMK,2410729464,2410729464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBINTL,131163559,131163559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBI,2785841000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2785841000,,,,,,,,,
PBHCN,213671475,,,,,,,,,,,,,,,,213671475,,,,,,,,,,,,,,,,,,,,,,,,,,
PBH,750000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000000,
PBGPW,118847097,,,,,,,,118847097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBFX,525000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000000,,,,,,,,,,,,,,
PBFENE,1225000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1225000000,
PBCT,900000000,900000000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBCGN,46511707,,,,,,,,,,,,,,,,46511707,,,,,,,,,,,,,,,,,,,,,,,,,,
PBBGR,25377230518,23701313153,,,1675917365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PB,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAZOIL,1686017263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686017263,
PAZFRD,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAZFOR,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYAU,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAXRV,1103000,,,,,,,,,1103000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVREI,76628400,,,,,,76628400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAVILL,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAULYE,283762615,,,,,,,,283762615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAULY,1355210,,,,,,,,,,,,,,,,1355210,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTS,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATTON,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRNL,482318940,,482318940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRIC,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRBZ,34112772,,,,,34112772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATPRE,8223796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223796,
PATINV,34870260,,34870260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATIGA,74104960,,,,,,,,,,,,,,,,,,,,,,,,74104960,,,,,,,,,,,,,,,,,,
PATHIP,38784152,,,,38784152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATFP,36809700,,,,,,36809700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATDIR,147238800,,147238800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATD,5000000,5000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATCCS,576000,,,,,,,,,,,576000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATCA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
PATAKH,1642684,,,,,,,,,,,,,1642684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATABZ,6340329,,6340329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
