ISIN,MarketValue,Currency
GB0007188757,43642033,USD
AU000000BHP4,31286319,USD
US8447411088,26889392,USD
JE00B4T3BW64,21610240,USD
US02376R1023,18749666,USD
GB0000566504,16211697,USD
DE0008232125,15158134,USD
US9100471096,11183069,USD
JP3429800000,10866897,USD
GB00B1XZS820,10205221,USD
AU000000S320,9675943,USD
JP3705200008,6551350,USD
SE0000869646,5367690,USD
US4771431016,4930839,USD
IE00BYTBXV33,4736800,USD
FR0000031122,3990583,USD
US2473617023,3009650,USD
CA0089118776,2675435,USD
ES0177542018,2621699,USD
US7045511000,2485244,USD
US8485771021,2374559,USD
US0116591092,2270504,USD
AU000000QAN2,2219228,USD
AU000000OZL8,2063578,USD
AU000000WHC8,2052840,USD
US8308791024,1966056,USD
AU000000ILU1,1902185,USD
CA9604105044,1796069,USD
AU000000SOL3,1279353,USD
US01748X1028,1229355,USD
GB00B0HZPV38,1178249,USD
NZAIRE0001S2,1075435,USD
SG1V61937297,1032039,USD
AU000000PLS0,1001369,USD
AU000000IGO4,974403,USD
US0393804077,965242,USD
US90346E1038,920627,USD
GB00B1722W11,807469,USD
CA74139C1023,782468,USD
GB00B7KR2P84,780660,USD
AU000000GXY2,776462,USD
US86722A1034,756969,USD
AU000000RIO1,743278,USD
FR0000120859,697023,USD
US30555Q1085,665413,USD
CA3012831077,657117,USD
AU000000MIN4,573647,USD
US21241B1008,566140,USD
CA46579R1047,550998,USD
CA66510M2040,485978,USD
AU000000WSA9,411136,USD
CA8765111064,406602,USD
CA17040T3001,380244,USD
CA7798992029,370771,USD
CA64156L1013,366989,USD
HK0293001514,356533,USD
FI0009003230,326753,USD
AU000000VAH4,323970,USD
CA4858471077,321121,USD
JE00BN574F90,313912,USD
AU000000NHC7,286411,USD
AU000000SFR8,273881,USD
US20451N1019,208163,USD
HK0639031506,195031,USD
CA3807381049,191065,USD
CA0209361009,185173,USD
AU000000AGO1,180681,USD
GB00B67KBV28,170040,USD
CA21146A1084,165808,USD
BMG6661B1211,157798,USD
SE0003366871,153740,USD
BMG5713E1093,149920,USD
AU000000MAH3,149832,USD
CA7319161021,148906,USD
CA64045C1068,146544,USD
AU000000BKY0,136662,USD
JP3680800004,110586,USD
CA05634Q1054,105228,USD
CA6882811046,100666,USD
GB00B60BWY28,93488,USD
CA2210131058,92290,USD
CA0202833053,89471,USD
CA2354991002,88623,USD
CA82639W1068,83911,USD
AU000000AJM9,81514,USD
GB00B4QMVR10,75302,USD
